,SCORE,,,0,0%
,Environmental Planning Reviewer ,Correct Ans.,,Remarks,"DISCLAIMER:
Always double-check the values given in this document with the actual laws."
,"PART III. ENVIRONMENTAL PLAN IMPLEMENTATION, LEGAL ASPECTS AND ADMINISTRATION",,,,
 1 ,"The Philippines is signatory to over 50 international treaties, agreements and conventions with implications on conservation, protection and utilization of natural resources. Which of the following does not deal with biodiversity conservation?
a. Protocol on Biosafety Convention on Wetlands of International Importance Especially for Waterfowl Habitat
b. United Nations Convention on the Laws of the Seas
c. Convention on the Conservation of Migratory Species of Wild Animals (CMS)
d. Convention on International Trade in Endangered Species of Wild Flora and Fauna (CITES
e. Convention on the Conservation and Management of Highly Migratory Fish Stocks of the Western Pacific and Central Pacific",B,a,Wrong,0
 2 ,"Project Definition or Preparation is an important step in the Project Development Cycle wherein it is determined whether a project should be undertaken, if so- how and when. There are 6 elements of project preparation- which one in the list below is not included:
a. Technical Analysis
b. Financial Analysis
c. Vision-Reality Gap Analysis
d. Economic Analysis
e. Social Impact Analysis",C,,,
 3 ,"Risk Analysis is one of the elements involved in Project Preparation. It may involve the employment of one or more of the following analytical tools, except:
a. Suitability Analysis
b. Sensitivity Analysis
c. Breakeven Analysis
d. Scenario Analysis",A,,,
 4 ,"Who is the co-chair of the city mayor in the local school board?
a. City superintendent of schools
b. Chairman of the education committee of the Sangguniang Panlungsod
c. President of the city federation of parents-teachers associations
d. Representative of the Pederasyon ng mga Sangguniang Kabataan in the Sangguniang Panlungsod",A,,,
 5 ,"Which of the following official is optional for cities and municipality but mandatory for provinces?
a. Veterinarian
b. General Services Officer
c. Agriculturist
d. Environment and Natural Resources Officer",C,,,
 6 ,"The minimum share of each barangay with a population of not less than 100 inhabitants to the IRA shall not be less than ______ per annum.
a. 50,000
b. 75,000
c. 80,000
d. 100,000",C,,,
 7 ,"BP 220 defines this as a single family attached dwelling containing three or more separate living units grouped closely together to form relatively compact structures.
a. Cluster housing
b. Row housing
c. Apartments
d. Townhouses",A,,,
 8 ,"According to EO 72, the municipal planning and development coordinator and/or the municipal _____, if there is any, shall provide the technical support services to the municipal development council to effectively formulate or update its land use plan.
a. Municipal environment and natural resources officer
b. Municipal agriculturist
c. Municipal engineer
d. Municipal architect",B,,,
 9 ,"Formulation of policies and programs relating to the general use of land , the preparation of land use plans, coordination of efforts relating to land resources and the administration of programs and implementation of mechanisms in support of these policies. (PD 933)
a. Human settlements planning
b. Land Use Management
c. Land Resource Management
d. Land Administration",C,,,
 10 ,"The UN Habitat III that reviewed the global urban agenda was held in:
a. Quito, Ecuador
b. Vancouver, Canada
c. Istanbul, Turkey
d. Rio de Janeiro, Brazil",A,,,
 11 ,"A device which grants a property owner relief from certain provisions of the Zoning Ordinance where, because of the particular physical surrounding, shape or topographical condition of the property, compliance on applicable Building Bulk and Density Regulations, Building Design Regulations and performance Standards would result in a particular hardship upon the owner, as distinguished from a mere inconvenience or a desire to make more money.
a. Notice of Non-Conformance
b. Exception
c. Variance
d. None of the Above",C,,,
