,SCORE,,,2,100%
,Environmental Planning Reviewer ,Correct Ans.,,Remarks,"DISCLAIMER:
Always double-check the values given in this document with the actual laws."
,AICP EXAMINATION,,,,
 1 ,"Which of the following cases is considered a landmark ruling that made government agency decisions subject to judicial review, and also spurred the creation of large numbers of citizens' groups dedicated to environmental activism?
a. Cheney v. Village 2 at New Hope
b. Citizens to Preserve Overton Park v. Volpe
c. Sierra Club v. Morton
d. Tahoe Sierra Preservation Council v. Tahoe Regional Planning Agency",B,b,Correct,1
 2 ,"Which of the following is an urban design movement that seeks to address what its proponents see as shortcomings of the New Urbanism movement?
a. Placemaking
b. Urban acupuncture
c. New pedestrianism
d. Smart growth",C,,,
 3 ,"Which of the following is NOT a feature of New Urbanism?
a. Wide sunlit streets
b. Many playgrounds close to neighborhoods
c. Very few garages facing streets
d. A mix of many kinds of housing types",A,,,
 4 ,"In 2000, Harvard professor Robert Putnam wrote Bowling Alone: The Collapse and Revival of American Community, a book about the erosion of civic engagement among Americans. In 2007 he followed it with an academic paper arguing that trust among people living in the
same neighborhoods was declining due to what?
a. The Internet
b. The decline of strong religious beliefs
c. Increasing racial diversity
d. The popularity of reality TV shows",C,,,
 5 ,"Who designed Central Park in New York City and is considered to be the ""father of American landscape architecture""?
a. Robert Moses
b. Harland Bartholomew
c. Patrick Geddes
d. Frederick Olmsted",D,,,
 6 ,"Who wrote Urbanism as a Way of life?
a. Jane Jacobs
b. Kevin Lynch
c. Paulo Soleri
d. Louis Wirth",D,,,
 7 ,"Which of the following is known as the first place in America to use lots of cu ls-de- sac?
a. Levittown, New York
b. Reston, Virginia
c. Radburn, New Jersey
d. Mariemont, Ohio",C,,,
 8 ,"A study of 1000 home sales shows that the median price of a home in the city is $90,000. The majority of prices are between $80,000 and $100,000. Quite a few fall between $60,000 and $80,000 or between $100,000 and $120,000. Nearly all the rest are priced between either $30,000 and $60,000 or $120,000 and $300,000. However, one sold for $1,500 and another sold for $3 million. These can be excluded from the sample because they are ...
a. Binary variables.
b. Outliers.
c. Violations of the chi square rule.
d. Control variables.",B,,,
 9 ,"Which of the following is NOT one of the four essential questions involved in community planning?
a. What are the values of this community?
b. What is the current status of the community?
c. What is the desired future of the community?
d. How can this future be achieved?",A,,,
 10 ,"In which of the following situations would the snowball sampling method be the best?
a. Measuring the popularity of tax abatements in the community
b. Determining how many housing units are needed by the homeless
c. Finding out the number of cars that come into the city each day
d. Deciding which branch libraries should be shut down or expanded",B,,,
 11 ,"Which of the following is likely to contain the smallest number of people?
a. Census block
b. Metropolitan statistical area
c. Census tract
d. Urban cluster",A,,,
 12 ,"What are the main causes of air pollution in towns and cities?
a. Power plants
b. Factories and other industrial plants
c. Cars
d. Aerosol cans",C,,,
 13 ,"What large American city is commonly believed to have no zoning laws?
a. Los Angeles
b. Houston
c. Chicago
d . Boston",B,,,
 14 ,"Which of the following would NOT be found in a primary plan for a new subdivision proposal?
a. Types and placements of utilities
b. Total area after all development of the subdivision is complete
c. Environmental impact statement
d. Layout of streets and lots",C,,,
 15 ,"Which kind of map would most likely be used as a tax map?
a. Orthophoto
b. Cadastral
c. Land classification
d. Topographic",B,,,
 16 ,"A zero-based budget is what kind of budget?
a. Traditional
b. Performance
c. Line item
d. Work program",B,,,
 17 ,"Which method of public financing for real estate development is based on the idea that it will lead to much higher levels of tax revenue in the future?
a. Tax increment financing
b. Historic tax credits
c. Home investment partnership programs
d. Low income housing tax credits",A,,,
 18 ,"Who wrote The Geography of Nowhere, and views American suburban sprawl as a symptom of a kind of national and cultural insanity that cannot long continue?
a. Noam Chomsky
b. Thomas Friedman
c. James Kunstler
d. Jacques Barzun",C,,,
 19 ,"Which of the following is true of form-based zoning?
a. Its focus is on building design instead of land use
b. Its focus is on restricting density, not building design
c. It is a second zone imposed on an existing zone
d. Its focus is on large scale development",A,,,
 20 ,"In addition to transect-based code and transit-oriented development, a community built along the lines of New Urbanism would use which of the following?
a. Cluster zoning
b. Floating zones
c. Exclusive zoning
d. Form-based zoning",D,,,
 21 ,"Which word or phrase best sums up what is known as ""the dark side of planning""?
a. Negligence
b. Guesswork
c. Rule by fiat
d. Realpolitik",D,,,
 22 ,"Which of the following is NOT a valid criticism ofTIFs?
a. They underestimate costs of future expenses required as a result of the new development.
b. They are increasingly being used in areas that aren't actually blighted.
c. They can lead to favoritism and other forms of corruption.
d. They lead to increasing dependency on state and federal funds.",D,,,
 23 ,"Smithville is in the middle of an economic boom thanks to the discovery oflarge reserves of oil shale in the area, which is now being pumped on hundreds of properties in the community. One local firm that specializes in cleaning oil field equipment has grown from one employee to 50 in the last few years, with plans to hire more in the very near future. According to economic base analysis, how would this firm's activities be classified?
a. Basic
b. Non-basic
c. Neither
d. Both",B,,,
