,SCORE,,,83,83%
,Environmental Planning Reviewer ,Correct Ans.,,Remarks,"DISCLAIMER:
Always double-check the values given in this document with the actual laws."
,"AREA 1: PRINCIPLES, CONCEPTS, THEORIES, AND HISTORIES (100 POINTS)",,,,
 1 ,"According to Kevin Andrew Lynch, a good ‘urban design’ is one where residents and visitors can use a ‘cognitive image’ or ‘mental cap’ of the city as they navigate through the territory in the process of ‘way finding’. He identified the elements of legibility of place as
a. Circumferentials, arterials, radials, and residuals
b. Skycrapers, skyways, multi-nodals, intermodals
c. Arched gateways, waterfronts, boulevards, and promenades
d. Paths, edges, nodes, districts and landmarks",D,D,Correct,1
 2 ,"“Urban design uses the climate, natural landscapes as well as built assets to create distinctive places that contribute to local identity. Urban design strengthens the city’s character by reflecting its cultural layers and by enabling residents and visitors alike to ‘read the city’ by way of its history, customs, icons, and visual elements”
a. ‘Cosmopolitanism’
b. ‘Palimpsest or Mosaic’
c. ‘Sense of Place’
d. ‘Inclusion and Inculturation’",C,C,Correct,1
 3 ,"The following planners were most concerned about “human scale and the social usage or urban space.”
a. David Harvey, Manuel Castells, Ray Pahl
b. Jane Jacobs, Kevin Lynch, William H. Whyte
c. Robert Moses, William Levitt, Richard King Mellon
d. TK Kent, Edwin C Banfield, Albert Z. Guttenberg",B,B,Correct,1
 4 ,"“Transit-Oriented Development” by Peter Calthrope which focuses on citizen’s access to mass transport can be considered under which general type of urban design?
a. Formalistic Design
b. Civic-Centered Design
c. Consumer-Centered Design
d. Eco-centric Design",C,C,Correct,1
 5 ,"“Smart Growth USA” with its 10 declared principles can be considered under which general type orf urban design?
a. Formalistic Design
b. Civic-Centered Design
c. Consumer-Centered Design
d. Eco-centric Design",B,B,Correct,1
 6 ,"Which goal of “Smart Growth USA” addresses social participation?
a. Direct growth towards existing population centers, thru public spending on infrastructures and facilities
b. Foster distinctive, attractive communities with a strong sense of place by creating walkable neighborhoods and providing a variety of transportation choices
c. Make development decisions predictable, fair, and cost effective, and encourage stakeholder collaborations in development decision
d. Create a range of housing choices and opportunities by allowing mixture of land uses
e. Preserve and protect open spaces, farmland, natural beauty, and environmentally sensitive areas",C,B,Wrong,0
 7 ,"Because pre-Spanish aboriginal communities in the Philippines were relatively small and based on kinship relations, the most common practice of land tenure un pre-colonial society was called
a. Primitive communism
b. Islamic feudalism
c. Usufruct
d. Tenancy",C,c,Correct,1
 8 ,"This was the Spanish spatial strategy of forming agglomerated settlements from scattered dwelling for purposes of greater military defense and political control – literally bringing together dispersed population within hearing distance of church bells – which policy was applied on most Spanish colonies from 16th to 18th centuries
a. El Alcance del Campanario
b. Presidio y Fortalea
c. Reduccion
d. Evangelization",C,c,Correct,1
 9 ,"During the period 1565 – 1896, the urban control points designated by the Spanish colonial government were the
a. Alcaldias y pueblos
b. Barrios y sitios
c. Haciendas y villas
d. Cabeceras y poblaciones",D,d,Correct,1
 10 ,"The Torres Title System whish entrenched the concept of absolute private ownership of land in the Philippines is a legacy from what colonial period history?
a. Spanish
b. American
c. Japanese
d. British",B,b,Correct,1
 11 ,"Through Presidential Letter of Instruction 367 in 1950 combining National Urban Planning Commission. Real Property Board, and Capital City Planning Commission, the government created this first physical planning body.
a. National Planning Commission
b. National Disaster Coordinating Council
c. National environmental Protection Agency
d. Human Settlements Regulatory Commission",A,a,Correct,1
 12 ,"In 1964, Republic Act 4341 established this center to create a pool of professional planners in the Philippines.
a. Local Government Academy
b. Development Academy of the Philippines
c. Institute of Planning
d. UPLB Institute of Environmental Science and Management",C,c,Correct,1
 13 ,"In 1970, the Presidential Advisory Council on Public Works and Community Development and the UP Institute of environmental Planning together drafted the first-ever national physical framework plan that attempted to address spatial inequity or regional imbalance using the concept of
a. Integrated area development
b. Growth pole/growth center
c. Selective territorial closure
d. Agropolis",B,a,Wrong,0
 14 ,"Presidential Decree No. 01 Integrated Reorganization Paln on September 24, 1972 increases the number of Philippine regions from eight since 1954 to 11, regionalized key ministries and line departments, and created a major planning agency of government which is known today a
a. Philippine Economic Zone Authority
b. Export Processing Zone Authority
c. Regional Development Coordination Board
d. National Economic and Development Authority",D,d,Correct,1
 15 ,"Presidential Decree No. 824 on February 27, 19875, created the Metro Manila Commission as the first-ever structure of metropolitan governance in the Philippines following the organization model called
a. Annexation and Amalgamation (one-tier government)
b. Jurisdictional Fragmentation (Council of Local Governments)
c. Voluntary Clustering and Inter-LGU Cooperation
d. Functional Consolidation (two-tier metropolitan government)",A,b,Wrong,0
 16 ,"In 1978, American Institure of Planner (established 1917) and American Society of Planning Officials (established 1934) combined to become the present-day
a. American Institute of Environmental Planning
b. Royal Institute of Town and Country Planning
c. Planning Society of All-America
d. American Planning Association",D,d,Correct,1
 17 ,"The first State-wide land use plan in 119973 which defined Urban Growth Boundaries (UGBs) that separated urban and rural areas ionorder to limit growth within serviced areas and to preserve rural farmland for a timeframe of 20 years, took place in the State of
a. Oregon
b. New York
c. California
d. Florida",A,a,Correct,1
 18 ,"An innovation in land-use regulation in which the right to develop a property can be separated or severed from ownership of land in particular zoning district, sold or passed on one another property owner, and exercised in connection with the development of land in some other area of the jurisdiction
a. Market-based instrument
b. Commutation of Rights
c. Property Conversion
d. Transfer of Development Rights",D,d,Correct,1
 19 ,"Which planning concept, first upheld by the US Supreme Court in the 1976 case of “Penn Central Transportation Co. versus City of New York” incorporates a market mechanism to mitigate whatever financial burden local law might have imposed on property?
a. Planned Unit Devt
b. Conservation Easements
c. Transfer of Development Rights
d. Eminent Domain",C,b,Wrong,0
 20 ,"In all but one of following cases, the US Supreme Court declared “takings” by government as illegal, as it upheld the Constitutional precept that “private property shall not be taken for public use without just compensation.”
a. Where a regulation in merely intended to prevent a nuisance and remove discomfort caused to the public
b. Where a regulation forced a landowner to allow someone else to enter onto the property;
c. Where a regulation imposes burdens or costs on a landowner that do not bear a “reasonable relationship” to the impacts of the project on the community;
d. Where government can equally accomplish a valid public purpose through less intrusive regulation or through a requirement of dedicating property
e. Where a landowner has been denies “all economically viable use” of the land",A,a,Correct,1
