,SCORE,,,162,81%,
,Environmental Planning Reviewer ,Correct Ans.,,Remarks,"DISCLAIMER:
Always double-check the values given in this document with the actual laws.",
,"AREA 2: ENVIRONMENTAL PLANNING PROCESSES, METHODS, AND STRATEGIES (200 POINTS)",,,,,
 1 ,"The simplified “Rule of 69” to determine population doubling time gives the formula ‘dt = 69.3÷r’ such that if the Philippine AGR in 2000 – 2007 is 2.04%, the total Philippine population is expected to double in approximately
a. 32 years
b. 34 years
c. 36 years
d. 38 years",b,b,Correct,1,
 2 ,"A remote village with 200 all-indigent households engaged in rainfed farming, with an average household size of 6, would likely grow arithmetically, due to isolation, poverty, disease, and lack of food. With their births-minus-deaths average 30 persons per year, what would be the village’s projected total population in 3years?
a. 296
b. 380
c. 580
d. 1,290",D,d,Correct,1,
 3 ,"Town ABCDE had a total year-end population of 20,000 in 2007, 20,400 in 2008, 20,808 in 2009. Using geometric growth formula of Pt=Po (1+r)t at uniform r=2% per annum, what would be its total year-end population by 2010?
a. 21,224
b. 21,400
c. 21,820
d. 22,130",A,a,Correct,1,
 4 ,"This pattern of rapid population growth expressed by the formula Pt = Poert is “seemingly without bounds” and is called “Malthusian” but is premised on the widespread abundance of food, which is not true in all places.
a. Polynomial growth rate
b. Parabolic growth rate
c. Logistic growth rate
d. Exponential growth rate",D,d,Correct,1,
 5 ,"“Baby Boomers” refers to those born in the period 1946 – 1964, “Generation X” refers to those born in the years 1965 – 1967 and “Generation Y” or “echo Bloomers” fefers to those born in the years
a. 1980 – 2000
b. 2001 – 2010
c. 1977 – 2000
d. 1975 – 2015",C,c,Correct,1,
 6 ,"The main difference between the “economic method” of projecting population growth and the “mathematical method” is that
a. The former takes into account movements of people while the latter only considers reproduction and deaths
b. The former forecasts varying rates of growth of local economic output and creates alternative scenarios
c. The latter does not consider ‘force majeure’ or recurrent natural disasters
d. The latter is based upon the assumption of “do nothing” while the former ignores historic patterns",B,b,Correct,1,
 7 ,"This theory pronounced by James S. Coleman (1988), Robert Putnam (1993), Diane Carney (1998) and adopted by UNDP (1997), looks at collective non-market assets of people such as trust, solidarity, norms of reciprocity, common purpose, equality, and other resources that are social relations and embedded in social networks
a. Theory of Social Change
b. Social Mobilization
c. Theory of Social Learning
d. Theory of Social Capital",D,d,Correct,1,
 8 ,"An indicator of “Quality of Life” developed by Nobel Laureate Amartya Sen, this composite measure combines life expectancy at birth, school enrolment rate, adult literacy rate, per capita income, and incidence of poverty
a. Millennium Development Goals
b. Index of Sustainability
c. Human development Index
d. GPI – Genuine Progress Indicator",C,c,Correct,1,
 9 ,"“Ekistics” or the “science of human settlements” by Dr Konstantinos Doxiadis was built upon the concept of basic needs, “which were later categorized by Johann Galtung into” material, survival & security needs, “social or enabling needs” and non-material “human needs”. Whish grouping of needs was elaborated on by Abraham Maslow?
a. Food, water, clothing, shelter, sanitation, health care, energy/fuel, employment, peace and order
b. Self-expression, sex, procreation, reaction education, communication and transportation
c. Physiological needs, physical safety, love and belongingnessm esteem, selfactualization/self-realization
d. Freedom, security, identity, well being, ecological balance.",C,c,Correct,1,
 10 ,"The member of the advocacy/activist/equity school of planning, this planner wrote the classic “ Eight Rungs in the Ladder of Citizen Participation” which describes the varying degrees of people’s involvement in policies, plan, programs
a. Ralph Nader
b. Susan S. Fainstein
c. Dr. Martin Luther King Jr
d. Sherry Arnstein",D,d,Correct,1,
 11 ,"The process of obtaining from people technical advice or opinion which may or may not be followed is called
a. Consultation
b. Faci-pulation
c. Cooperation
d. Collaboration",A,a,Correct,1,
 12 ,"The process of facilitating and arranging activities and action-plans of different interestgroups or sectors for the purpose of harmonizing, synchronizing and consolidating inputs and outputs is called
a. Mainstreaming
b. Input-Output Process
c. Coordination
d. Cooptation",C,c,Correct,1,
 13 ,"World Bank describes this process as the “expansion of assets and capabilities of poor people, as well as the expansion of their freedom of choice and action , to participate in, negotiate with, influence, control, and hold accountable institutions that affect their lives”
a. Self-Management
b. Needs Achievement
c. Entitlement
d. Empowerment",D,d,Correct,1,
 14 ,"It is the international collective terms for inclusive, non-state actors whose aims are neither to generate profit nor to seek governing power but to unite people around the broadest public interest based on ethical, cultural, religious, scientific, professional, or philanthropic considerations
a. Cause-Oriented Groups
b. Charity
c. Social Movement
d. Civil Society",D,d,Correct,1,
 15 ,"According to NSO 2003, heart diseases, cerebrovascular disease, stroke, cancer, and malignant neoplasms which are degenerative disorders due to lifestyle, together account for 50% of total deaths & are called leading causes of
a. Fatality
b. Terminality
c. Corporeality
d. Mortality",D,d,Correct,1,
 16 ,"Morbidity essentially refers to
a. Mental insanity cases per 1000 population
b. Incidence of disease per 1000 population
c. Rate of contagion of epidemic every 72 hours
d. Outbreak of plagues and pandemics every 3 years",B,b,Correct,1,
 17 ,"The whole country has a population growth rate of 2.04% per annum while Town FGHIJ has growth rate of 1.4% per annum. Using the ‘crude assumption’ method of computing migration flows, which of the following is likely true?
a. There is more out-migration from Town FGHIJ
b. There is more in-migration from Town FGHIJ
c. Immigration and Emigration cancel out each other
d. Poor transport to Town FGHIJ makes movement difficult",A,a,Correct,1,
 18 ,"Between census years 1990 and 2007, the lowest population growth rates per annum in Metro Manila occurred in San Juan, -0.03%; City of Manila, 0.09% Pasay, 0.22%, Makati, 0.3% Mandaluyong, 0.53% (versus highest rate at 2.12% in Taguig). Which of the following
statements, all valid, most considers sustainable capacity and livablity?
a. These NCR areas have higher daytime population than nighttime population
b. These NCR areas are likely approaching their viable population limits
c. These NCR areas tend to physically decay with population density beyond a tolerable range
d. New or young families in these NCR areas are likely to settle somewhere else",B,d,Wrong,0,
 19 ,"The main difference between ‘birth rate’ and ‘fertility rate’ is
a. ‘birth rate’ pertains to fecundity of a woman while ‘fertility rate’ pertains to quanity and intensity of her sexual activity
b. ‘birth rate’ refers to babies who survive while ‘fertility rate’ includes pregnancies which may or may not succeed
c. ‘birth rate’ pertains to births in relation to total population while ‘fertility rate’ is in relation to average childbearing woman
d. ‘birth rate’ pertains to live birth while ‘fertility rate’ includes still births, premature deliveries, abortions & miscarriage",C,c,Correct,1,
 20 ,"17% of surveyed women wanted 2.7 average births in contrast to aggregate fertility rate of 3.5 births per women; 50% of women don’t want any more children; 9% of woman wanted to space births but could not do so, and nearly 50% of women between ages 15 and 24 have
had pre-marital sex and have experience unwanted pregnancies. Which rational conclusion is supported by above data from ESCAP study 1998?
a. Filipinos’ fondness for babies is waning
b. Filipinos’ women are more burdened compared to men when it comes to birth control
c. The women in the survey do not accurately represent the overall picture of Filipino womenfolk
d. There is apparently an unmet need for contraception and family planning among Filipino women",D,d,Correct,1,
