,SCORE,,,390,100%
,Environmental Planning Reviewer ,Correct Ans.,Correct Ans.,"Remarks /
Correct Answer","DISCLAIMER:
Always double-check the values given in this document with the actual laws."
,UAP-EnP-Capability-Bldg-Course-1 (390 points),,,,
 1 ,"HE WROTE THE BOOKS EKISTICS IN 1968 AND ECUMENOPOLIS IN 1975.
A. PETER HALL
B. LEWIS MUMFORD
C. DOXIADIS
D. LE CORBUSIER ",C,C,Correct,1
 2 ,"HE WROTE THE BOOK IMAGE OF THE CITY.
A. DOXIADIS
B. KEVIN LYNCH
C. PATRICK GEDDIES
D. EBENEZEER HOWARD",B,B,Correct,1
 3 ,"SUGGEST AN AGROPOLITAN OF CONCENTRATING DEVELOPMENT ACTIVITIES IN RURAL DISTRICTS WITH FROM
ABOUT 50,000 TO 150,000 PEOPLE.
A. FREIDMAN AND DOUGLAS
B. BARRY PARKER
C. PETER HALL
D. DOXIADIS ",A,A,Correct,1
 4 ,"EARLY PIONEER OF THE CONCEPT OF NODAL REGION. PROMOTER OF GARDEN CITY MOVEMENT
A. LEWIS MUMFORD
B. EBENEZEER HOWARD
C. PETER HALL
D. KEVIN LYNCH ",B,B,Correct,1
 5 ,"BUil T THE FIRST CITY GARDEN ""LETCHWORH"" IN 1920.
A. UNWIND RAYMUND/BARRY PARKER
B. FREIDMAN AND DOUGLAS
C. LE CORBUSIER
D. FRANK LLOYD WRIGHT ",A,A,Correct,1
 6 ,"HE PREPARED THE GREATER LONDON PLAN OF 1944
A. FRANK UOYD WRIGHT
B. ABERCROMBIE
C. LEWIS MUMFORD
D. PETER HALL ",B,B,Correct,1
 7 ,"HIS WORK AS BIOLOGIST AND STUDY OF HUMAN ECOLOGY LED TO A SYSTEMATIC  STUDY OF FORCES THAT  WERE SHAPING GROWTH AND CHANGE IN MODERN CITIES
A. LEWIS MUMFORD 
B. PATRICK LEWIS 
C. PATRICK GEDDES
D. KEVIN LYNCH",C,C,Correct,1
 8 ,"A FOLLOWER OF THE IDEAS OF PATRICK GEDDES, HE WROTE THE BOOK CULTURE OF CITIES.
A. LEWIS MUMFORD
B. PATRICK LEWIS
C. KEVIN LYNCH
D. PETER HALL ",A,A,Correct,1
 9 ,"HE DEVELOPED A LOW DENSITY URBAN SPRAWL CALLED ""BROADACRE CITY"".
A. ABERCROMBIE
B. PATRICK LEWIS
C. PATRICK GEDDIES
D. FRANK LLOYD WRIGHT ",D,D,Correct,1
 10 ,"PROPOSED TO DEVELOP ALONG AN AXIS OF HIGH SPEED, HIGH INTENSITY TRANSPORTATION AND UTILITY
SYSTEMS AND HOUSE ALONGSIDE. HE CALLED SUCH DEVELOPMENT ""LINEAR CITY"".
A. SORIA Y MATA
B. LEWIS MUMFORD
C. KEVIN LYNCH
D. PETER HALL ",A,A,Correct,1
 11 ,"THE MAIN PLAZA AND SMALLER PLAZAS SHOULD BE SURROUNDED BY THESE PRINCIPAL BLDG.
i. PRINCIPAL CHURCH -
ii. ROYAL AND TOWN COUNCIL HOUSE _.
iii. CUSTOM HOUSE -
iv. ARSENAL
v. LODGING HOUSE
A. i, ii, & iii
B. ii, iii, & iv
c. iii, iv,&v
D. iv, v,& i ",A,A,Correct,1
 12 ,"THE FOLLOWING CAN BE CONSIDERED AS THE CONTRIBUTION OF THE SPANISH PERIOD TO PHILIPPINE PLANNING KNOWLEDGE:  
i. INTRAMUROS 
ii. THE PLAZA COMPLEX 
iii. THE GRID LAYOUT 
iv. CHURCHES 
v. FRIAR LANDS

A. ii & ili 
B. i, ii, Iii, & iv
C. iii, iv, & v
D. iv, v,& i
E.  iv,v,&ii",E,E,Correct,1
 13 ,"WHICH OF THE FOLLOWING ARE NOT ECOSYSTEMS?
i. COASTAL/MARINE 
ii. FOREST 
iii. BIODIVERSITY 
iv. MINES 
v. LOWLAND

A. i & ii 
B. ii & iii 
C. iii & iv 
D. iv & v",D,D,Correct,1
 14 ,"IT IS THE DIVISION OF THE LOCALITY INTO DISTRICTS TO REGULATE LAND USE IN ACCORDANCE TO CLUP.
A. COMMUNITY PLANNING
B. DISTRICT PLANNING
C. ZONING
D. AREA PLANNING ",C,C,Correct,1
 15 ,"THE LOCAL GOVT. CODE OF 1991 MANDATES THAT THE PLANNING PROCESS BE: 
i. TECHNOCRATIC 
ii. PARTICIPATORY 
iii. INCLUSIVE 
iv. CONSULTATIVE 
v. POLITICALLY-MOTIVATED 

A. i, ii, & iii 
B. ii, iii & iv 
C. iii, vi & v 
D. ii, iv & v 
E. ALL OF THE ABOVE",B,B,Correct,1
