,SCORE,,,1,100%
,Environmental Planning Reviewer ,Correct Ans.,,Remarks,"DISCLAIMER:
Always double-check the values given in this document with the actual laws."
,Refresher-Economic Planning (87 points),,,,
 1 ,"Thomas Robert Malthus was the one who first concluded that
a. The means of subsistence grew only at an arithmetic rate
b. The means of subsistence and population both grew at an arithmetic rate
c. The means of subsistence of population few at a geometric rate
d. The means of subsistence grew only at an arithmetic rate whereas the population tended to grow at a geometric rate
",D,d,Correct,1
 2 ,"__ Initially developed the concept of ""growth pole of regions""
a. Christaller
b. Perroux
c. Lennoix
d. Howard

",B,,,
 3 ,"Spirit of Capitalism' (1904), what was the key factor in transition from the mercantile economies controlled by European monarchies to profit-driven individual enterprise or laissez faire? 
a. Endemic corruption in highly structured Catholic society made people less imaginative and less entrepreneurial 
b. Early Protestants generally emphasized hardwork, simplicity, thrift, discipline, savings, reinvestment of savings
c. Royal treasuries went bankrupt due to Cath.olics culture of excess, lavish celebrations, overindulgence, etc.
d. Protestant work without the baggage of Seven Capital Sins such as greed, avarice, envy, lust, gluttony etc.",B,,,
 4 ,"This book spelled out the causes of failure in countries like Haiti, Egypt, the Philippines to make their economies work.
a. Failure of Economies
b. Economic Faux Pas
c. The Mystery of Capital
d. Dilemmas in Economic Planning",C,,,
 5 ,"In Michael P. Todaro's Labor Migration Model of Urbanization (1976), the central pull factor or main attraction of Third World cities to rural migrants even when these cities are unprepared to accept migration, is
a. Bright-light effects or lure of city life and neon-lit entertainment
b. Possible benefits derived from proximity to seat of power and prestige of central city address
c. Abundance and plenitude in cities versus hunger and famine due to insurgency wars in the countryside
d. Substantial wage differentials between urban labor and rural labor for the same level of skill, task, or occupation",D,,,
 6 ,"If 'pre-industrial society' was mainly agricultural, kinshipbased, self-sufficient, and relatively parochial, 'industrial society' in contrast
a. Minimizes farming to channel capital into factories
b. Prioritizes mining of minerals and precious stones
c. Aims for mass production thru mechanization & automation
d. Relies on the oulput of white-collar professionals",C,,,
 7 ,"Due to greater 'division of labor' .there is more heterogeneity of population and classes of workers beginning with
a. Primitive subsistence society 
b. Pre-industrial society 
c. Industrial society 
d. Post-industrial society",C,,,
 8 ,"The factors for analyzing traditional location theory are:
a. The costs of marketing and advertising 
b. Labor wages 
c. The costs of transporting raw materials to the factory and finished goods to the market 
d. All of the above",C,,,
 9 ,"""When all land is identical and there is perfect competition among profit-maximizing firms, land is sold to the highest bidder. As a firm moves closer to the center of a place, transport costs fall which increases the amount a firm is willing to pay for land. Thus, land at the center always has the highest value .""
a. Johann Henreich von Thunen, Walter Christaller and George Kingsley Zipf
b. William Alonso, Richard E. Muth and Edwin S. Mills
c. Alfred Weber, August Losch and Walter lsard
d. Roderick D. McKenzie, Amos H. Hawley, Robert Park",B,,,
 10 ,"In the model of mono-centric cities, it is assumed that manufacturers locate close to transport arteries, blue collar workers locate close to their jobs, while traders and retailers pay higher for choice locations in city center to have command of the market. This pattern of land use is explained better by which theory of spatial planning?
a. Urban Bid-Rent by Alonso, Muth and Mills
b. Cumulative Causation by Gunnar Myrdal
c. Urban Land Nexus Theory by David Harvey
d. City as Growth Machine by John Logan & Harvey Molotch",A,,,
 11 ,"In William Alonso's Bid-Rent Theory (1960), the most dominant use in the innermost circle in his diagram is
a. farming for the most expensive crops
b. terminal for commuters, central rail station
c. central park
d. shopping and retail services",D,,,
 12 ,"This school of thought holds that settlements form in a balanced manner; they tend to be spread evenly and symmetrical in isotropic space, displaying both hierarchy and equilibrium arising from the interdependence between big and small settlements and from the complementation between their respective scoped of functions.
a. Primitive subsistence society 
b. Central Place Theory
c. Geographic Determinism
d. Dependency Theory",B,,,
 13 ,"Central Place Theory was found faulty in assuming uniform topography, fiat featureless terrain, ease of travel in all directions and ubiquity or all-around presence of economic resources, but its major strength lies in characterizing the locational advantages of one place in relation to another, a geographic concept called -
a. Surrounding    c. Standing
b. Situation         d. State",B,,,
 14 ,"In Walter Christaller's Central Place Theory, the catchment's area of a central place takes the shape of hexagon rather than a perfect circle. If a particular service or function such as elementary school enrolment is represented by the formula, ""C = 2.6r2d,"" what would be the catchment's area of elementary school if its radius is O.Skm and diameter is one km?
a. 0.65 sq.km
b. 0.75 sq.km
c. 0.85 sq.km
d. 0.95 sq.km

",A,,,
 15 ,"A chart-like tool to measure 'centrality' of a place particularly its range of economic and social functions, is called
a. Matrix   c. lsodapanes
b. lsotims  d. Scalogram",D,,,
 16 ,"All of the following are practical applications of Central Place Theory in the Philippines, except one.
a. Location of health centers
b. Location of trial courts
c. Location of beach resorts
d. Location of police stations",C,,,
 17 ,"What Christallerian principles from the basis why a state university, a consumer mall, a huge sports stadium, or a tertiary-level hospital cannot be established in each and every Philippines municipality?
a. Spatial equity and bio-geography equity
b. Specialization and concentration
c. Market range and threshold population
d. Profitability and pecuniary interest",C,,,
 18 ,"The 'hierarchy of settlements' in Walter Christaller's Central Place Theory is characterized by
a. Equally-sized large cities in every region
b. Only one large city, many small settlements
c. Only medium-sized and small settlements
d. a few large cities, some medium cities, many small",D,,,
 19 ,"A spatial development concept that suggest that by investing heavily in capital intensive Industries in the largest Urllan centers, government in developing countries can stimulate economic growth that will spread outward to generate regional development the economies of scale
found in the largest cities.
a. Growth Pole Concept
b. Trickling Down Effect
c. Mercantilism
d. Central Place Theory",A,,,
