,SCORE,,,72,100%
,Environmental Planning Reviewer ,Correct Ans.,,Remarks,"DISCLAIMER:
Always double-check the values given in this document with the actual laws."
,Refresher-Environmental Laws (72 points),,,,
 1 ,"CLUPs have been updated to comply with the landmark national laws. What are these laws? 
i. RA 7160 
ii. RA 9184 
iii. RA 10121 
iv. RA 9729                                                                                                                                                    
a. i, ii, iii, iv            b. i, ii, iii           c. i, ii         d. iii, iv            ",D,d,Correct,1
 2 ,"Government Procurement Reform Act of 2002: 

a. RA 9148           b. RA 9418         c. RA 9814       d. RA 9184          ",d,d,Correct,1
 3 ,"Direct contracting is applicable only if: 
i. Copyrighted, patented 
ii. crucial component 
iii. exclusive dealer 

a. i only             b. ii only       c. i & iii       d. i, ii, iii        ",C,c,Correct,1
 4 ,"Under RA 9184 Government Procurement Reform Act of  2002, what is the most preferred manner of government  procurement of goods and services? 
a. Selective bidding or limited source bidding 
b. Negotiated procurement 
c. Single source procurement or direct contracting 
d. Competitive bidding ",D,d,Correct,1
 5 ,"Which are the principles of government reform under the 
RA No. 9184 (Government Procurement Reform Act)? 
i. Social Justice                                                                                                                                                                                            ii. Transparency 
iii. Competitiveness 
iv. Streamlined Procurement 
v. Public Monitoring 
vi. System of Accountability 

a. i, ii, iii, iv       b. ii, iii, iv, v, vi             c. i, iii, iv, v       d. ii, iv, v, vi         ",B,b,Correct,1
 6 ,"Renewable Energy Act of 2006: 

a. RA 9637       b. RA 6973             c. RA 7639      d. RA 9367                 ",D,d,Correct,1
 7 ,"Indigenous Peoples Rights Act of 1997: 

a. RA 8173            b. RA 8713         c. RA 8317      d. RA 8371                   ",D,d,Correct,1
 8 ,"Areas generally belonging to ICCS/IPs comprising lands, inland waters, coastal areas, and natural resources therein 

a. Indigenous areas 
b. Cultural minority areas 
c. Ancestral areas 
d. Ancestral domain ",D,d,Correct,1
 9 ,"Ancestral domains refer to areas that 

a. Belong to ICCs/IPPs comprising lands, inland waters, coastal areas and natural resources therein 
b. Are within protected areas which have actually been occupied by communities for 5 years before  the designation of the same as protected areas in accordance with the NIPAS Act 
c. Are set aside to allow the way of life of societies living in harmony with the environment to adapt to  modern technology at their pace 
d. Are extensive and relatively isolated and uninhabited area normally with difficult access",A,a,Correct,1
 10 ,"They refer to all areas generally belonging to Indigenous Cultural Communities/Indigenous Peoples(ICCsJIPs) compromising lands, inland waters, coastal areas, and natural resources therein, held under a claim of ownership, occupied or possessed by ICCs/IPs, themselves or through their ancestors, communally or individually since time immemorial continuously to the present except when interrupted by war, force majeure or displacement by force, deceit stealth or as a consequence of government projects or any other voluntary dealings entered into by government and private individuals, corporations, and which are necessary to ensure their economic, social and cultural welfare 

a. Tribal lands 
b. Ancestral lands 
c. Ancestral domain
d. Cultural communities",C,c,Correct,1
 11 ,"This refers to a title formally recognizing the rights of possession and ownership of ICC/IPs over their ancestral  domains identified in accordance with the law 

a. Torrens Title 
b. Indigenous People Title 
c. Land Title 
d Certificate of Ancestral Domain Title ",D,d,Correct,1
 12 ,"The following operating principles are adhered to under the Indigenous People's Right Act, except 

a. Biodiversity 
b. Career Development of IPs 
c. Protection of the Environment 
d. Cultural diversity and Integrity, Consensus and Peace Building and human Dignity ",B,b,Correct,1
 13 ,"The rights of the IPs to cultural integrity shall include 

a. Protection of indigenous culture, traditions and institutions 
b. Right to establish and control educational and learning systems 
c. Right to science and technology 
d. All of the above",D,d,Correct,1
 14 ,"The primary government agency to implement the policies for the IPs is 

a. Office of the Cultural Affairs 
b. National Commission for the Cultural Communities 
c. Commission for the Philippine Minorities 
d. National Commission for Indigenous Peoples ",D,d,Correct,1
 15 ,"How many comm1ss1oners comprise the national 
Commission on Indigenous Peoples? 

a. 5        b. 7         c. 9    d. 11               ",B,b,Correct,1
 16 ,"Systems, Institutions, mechanics and technologies comprising a unique body of knowledge enclave through time 

a. Cultural practices 
b. Cultural way of life 
c. Indigenous culture 
d. Indigenous knowledge systems and practices ",D,d,Correct,1
 17 ,"Consensus of all members of the ICCs/IPs determined in accordance with their respective customary laws and practices, free from any external manipulation and coercion 

a. Indigenous consensus 
b. Rights of Indigenous people 
c. Free and informed consent 
d. All of the above",C,c,Correct,1
 18 ,"According to RA8371, when disputes involve indigenous peoples, what shall be used to resolve the dispute? 

a. Katarungang Barangay 
b. Municipal Trial Courts 
c. Customary Laws and Practices 
d. Arbitration Committee ",C,c,Correct,1
 19 ,"People's Small-scale Mining Act: 

a. RA 7706            b. RA 7670          c. RA 7067          d. RA 7076",d,d,Correct,1
 20 ,"Under RA 7076 People's Small-scale Mining Act of 1991, who are the preferred holders of small-scale mining permits? 

a. Guilds 
b. Cooperatives 
c. NGOs
d. Micro-scale and cottage enterprises ",B,b,Correct,1
 21 ,"Under Executive Order No. 79, series of 2012 (Institutionalizing and Implementing Reforms in the  Philippine Mining Sector Providing Policies and Guiqelines to Ensure Environmental Protection and Responsible Mining in the Utilization of Mineral Resources), the Mining Industry Coordinating Council (MICC) is to be composed of the following members:                                                                                     i. Chair, Climate Change Adaption and Mitigation  Cabinet Cluster 
ii. Chair, Economic Development Cabinet Cluster 
iii. Chief Justice, Supreme Court 
iv. Secretary, Department of Justice 
v. Chair, National Commission on Indigenous Peoples 
vi. President, Union of Local Authorities of the Philippines 

a. i, ii, iv, v, vi           b. ii, iii, iv, v      c. ii, iv, v, vi            d. i, ii, iii, iv, v, vi 
           ",A,a,Correct,1
 22 ,"Who is the Chair of the Climate Change Adaption and Mitigation Cabinet Cluster, which cluster under Executive 
 Order No. 43, series of 2011, (i) is tasked to focus on the conservation and protection of the environment and natural 
 resource, (ii) shall take the lead in pursuing measures to adapt to and mitigate the effects of climate change in the Philippine archipelago, (iii) shall undertake all the necessary preparation for both natural and man-made disasters? 

a. Secretary, ONO      b. Secretary, DENR      c. Secretary DIL     d. Secretary, DSWD        ",B,b,Correct,1
 23 ,"Philippine Disaster Reduction and Management Act: 

a. RA 10121         b. RA10211        c. RA 11021        d. RA10112       ",A,a,Correct,1
 24 ,"Not less than __ of the estimated revenue from regular sources shall be set aside as the LDRRMF to support disaster risk management activities. 

a. 5%      b. 10%           c. 15%    d. 20%               ",A,a,Correct,1
 25 ,"__ of the LGU's Internal Revenue Allotment and regular revenue sources must be allocated to Disaster Risk Reduction and Management. 

a. 5%         b. 10%        c. 15%    d. 20%              ",A,a,Correct,1
 26 ,"The President is authorized to declare any cluster of barangay, municipalities, cities, province, and regions under State of Calamity upon recomendation of 

a. NDRRMC    b. LDRRMC        c. PDRRMC      d. MDRRMC            ",A,a,Correct,1
 27 ,"The degree to which the elements at risk are likely to experience hazard events of different magnitudes. 

a. Exposure       b. Hazard     c. Vulnerability       d. Risk             ",A,a,Correct,1
 28 ,Which is not a key element of hazard mitigation planning?                                                                                                                                a. Land use plans     b. Land titles                     c. Hazard  assessment     d. Development control or management                              ,B,b,Correct,1
 29 ,"A people-centered early warning system necessarily comprises of four (4) key elements, these are; (RA 10121 sec3q) 

i. prepare and to act appropriately. 
ii. knowledge of the risks. 
iii. monitoring, analysis and forecasting of the hazards. 
iv. communication or dissemination of alerts and warnings. 
v. local capabilities to respond to the warnings received. 

a. i, ii, iii & iv      b. i, ii, iv & v     c. ii, iii, iv & v      d. i, iii, iv & v    ",C,c,Correct,1
 30 ,"According RA 10121 of 2010, this is a management process that analyzes specific potential events of emerging situations that might threaten society or the environment by establishing arrangements in advance to enable timely, effective, and appropriate responses to such events and situations. 

a. risk averse planning 
b. crisis management 
c. search, rescue, retrieval & relief 
d. contingency planning",D,d,Correct,1
 31 ,"Which solution to reduce disaster vulnerability needs the longest-term and most comprehensive perspective. 

a. regulation of public and private infrastracture to ensure social protection. 
b. safer location for settlements 
c. safer building construction 
d. environmental safeguards and natural protection ",D,d,Correct,1
 32 ,"This is the measure of how strong an earthquake is in terms of energy. 

a. Atom Bombs 
b. Intensity 
c. S-waves
d. Magnitude",D,d,Correct,1
 33 ,"This is the subjective measure of how an earthquake is felt at a certain location. 
a. TNT 
b. Intensity 
c. P-waves
d. Magnitude",B,b,Correct,1
 34 ,"This is the maximum earthquake intensity that a compliant building can withstand, according to RA6541, or the National Building Code of the Philippines. 

a. Intensity Vil         b. Intensity VIII         c. intensity X        d. The code does not specify      ",D,d,Correct,1
 35 ,"A magnitude 7.2 earthquake in the West Valley Fault is 
estimated to result in how many lives lost?                    a. 16,000        b. 34,000     c. 150,000       
        ",B,b,Correct,1
 36 ,"The last major earthquake of the 100-km West Valley Fault  was in 1658. But on average, this fault moves at roughly around every ___
a. 100 years 
b. 300 years 
c. 400 years
d. 500 years
",C,c,Correct,1
 37 ,"According to David Satterthwaite, 95% of deaths and serious injuries from major disasters in the period 1950-2007 occurred in low-income to middle-income countries, and 90% of these deaths happened to the poorest people. Which conclusion is supported by this information? 
a. Poverty, which means low income and low education, is the major cause of disaster 
b. Countries in typhoon belts and Ring-of-Fire region of the world tend to be poor because of frequent disasters 
c. Poverty and its physical dimension, i.e. location of homes and livelihoods, increase people's vulnerability to disaster 
d. The poorer a country, the higher the illiteracy rate, hence the less informed and less prepared people 
tend to be ",C,c,Correct,1
 38 ,"The law which gives the LGU the responsibility to manage and conserve the culture and heritage.                                                     National Cultural Heritage Act of 2009: 

a. RA 10606   b. RA 10066       c. RA 10660      d. RA 16006       ",B,b,Correct,1
 39 ,"According to Surra Charter, it means maintaining the fabric of the place in its existing state and retarding its deterioration. It encompasses conservation activities that consolidate and maintain the existing form, material and integrity of a resource which include short-term protective measures as well as long-term actions to prevent deterioration or prevent damage 

a. Reconstruction     b. Rehabilitation     c. Preservation     d. Renovation 

            ",C,c,Correct,1
 40 ,"It means the practices, representations, expressions, knowledge, skills - as well as the instruments, objects, artifacts and cultural spaces associated therewith - that communities, groups and, in some cases, individuals, recognizes as part of their cultural heritage 

a. Museum development        b. Intangible heritage     c. Eco-cultural tourism      d. All of the above                   ",b,b,Correct,1
 41 ,"The Philippines boasts of a number of World Heritage Sites. 
Identify from among the list below one that is not 
a. Banaue Rice Terraces
b. Baroque Churches
c. Tubbataha Reef Marine Park                                                                                                                                                                    d. Mayon Volcano ",D,d,Correct,1
 42 ,"Urban Development and Housing Act of 1992 

a. RA 7729         b. RA 7279        c. RA 7927    d. RA 7297              ",b,b,Correct,1
 43 ,"PD 1216 is the law pertaining to: 

a. Fisheries Code of 1998 
b. PRC Modernization Law 
c. Solid Waste Management Act 
d. Defining ""Open Spaces"" in Residential Subdivisions",D,d,Correct,1
 44 ,"BOT Law and its IRR stand for 

a. RA 7718      b. RA 7781       c. RA 7187     d. RA 7817             ",A,a,Correct,1
 45 ,"This Law provides a liberalized environment more conducive to private sector investment. 

a. RA 8762 (Retail Trade Liberation Act)         b. RA 7042 (Foreign Investments Act)       c. RA 7718 (BOT Law)     d. RA 7279 (UDHA)                    ",C,c,Correct,1
 46 ,"It consists of resource flows provided by bilateral sources and multilateral institutions with the objective of promoting the economic development and welfare of the recipient country. 

a. World Bank 
b. Official Development Assistance 
c. Internal Revenue Allotment 
d. Development fund ",B,b,Correct,1
 47 ,"A contractual arrangement whereby the project proponent undertakes the financing construction of a given infrastructure or development facility and after its completion turns it over to the government agency or local government unit concerned, which shall pay the proponent on an agreed schedule ils total investments expanded on the project, plus a reasonable rate of return thereon. 

a. Develop, operate and transfer 
b. Build, own and operate 
c. Build and transfer 
d. Build, transfer and operate ",c,c,Correct,1
 48 ,"A contractual arrangement whereby the public sector contracts out the building of an infrastructure facility to a private entity such that the contractor builds the facility on a turn-key basis, assuming cost overrun, delay and specified performance risks. 

a. Develop, operate and transfer 
b. Build, own and operate 
c. Build and transfer 
d. Build, transfer and operate ",d,d,Correct,1
 49 ,"A contractual arrangement whereby a project proponent is authorized to finance, construct, own, operate and maintain an infrastructure or development facility from which the proponent is allowed to recover its total investment, operating and maintenance costs plus a reasonable return thereon by collecting toots, fees, rentals and other charges from facility users. 

a. Develop, operate and transfer 
b. Build, own and operate 
c. Build and transfer 
d. Build, transfer and operate ",B,b,Correct,1
 50 ,"What is the maximum number of years for the collection of tolls, fees, rentals and repayment on BOT projects? 

a. 10 years     b. 20 years        c. 25 years      d. 50 years       ",D,d,Correct,1
 51 ,"Magna Carta of Women stand for 

a. RA 9170      b. RA 9701        c. RA 9710    d. RA 9017
",c,c,Correct,1
 52 ,"Wildlife Resources Conservation and Protection Act stand for: 

a.  RA 9471     b.  RA 9714    c.  RA 9147       d.  RA 9174",c,c,Correct,1
 53 ,"This is a relatively small area focused on protection of small features to protect or preserve nationally significant natural features on account of their special interest or unique characteristics. 
a. Natural Monument 
b. National Park 
c. Protected Area
d. Strict Nature Reserve",A,a,Correct,1
