,SCORE,,,47,96%
,Environmental Planning Reviewer ,Correct Ans.,,Remarks,"DISCLAIMER:
Always double-check the values given in this document with the actual laws."
,Refresher-Land Use Planning-1,,,,
 1 ,"Comprehensive Land Use Plan can be defined as "" ... a plan that makes provisions for all the uses that the legislative body of that municipality decides are appropriate for location somewhere in that municipality."" Who put forward this definition?
a. Hugh Pomeroy                       c. Gunnar Myrdal
b. George Chadwick                   d. Robert Young",A,a,Correct,1
 2 ,"A conscious effort to define systematically and think through a problem to improve the quality of decision making, shaping the pattern of growth to achieve a sensible and attractive land use pattern
a. Peter Hall                              c. John M. Levy
b. Ernesto M. Serote                  d. Clara Greed",C,c,Correct,1
 3 ,"Planning Is a comprehensive, long-range and multi-secloral effort to attain a set of goals by deciding upon a mix of alternative slrategies. It may have a time frame of 3 to 30 years
a. Gina Lopez
b. Ernesto M. Serote
c. Josefina Ramos
d. Dolores Endriga",B,b,Correct,1
 4 ,"This process defines the physical platform of development at the local level and proceeds by systematically evaluating alternalive patterns of resource use, choosing that use which meets specified goals, and drawing-up appropriate policies and programs, directed to the best use of land in view of accepted objectives and of environmental and societal opportunities and constraints.
a. Framework Planning
b. Strategic Planning
c. Land Use Planning
d. Development Planning",C,c,Correct,1
 5 ,"This document consists of specific proposals to guide growth in a locality including statements about community goals, priorities, strategies and socially-desired mix of resources uses. These are illustrated by maps, diagrams, charts, tables that show a coherent spatial framework for environment protection, economic production, settlements and infrastructure.
a. Strategic Plan
b. Framework Plan
c. Comprehensive Land Use Plan
d. Charrette",C,c,Correct,1
 6 ,"In contrast to the long-term skeletal-circulatory framework, this is the overall medium-term action plan utilized by every local administration to develop socio-economic development projects and implement sectoral, cross-sectoral and multisectoral programs to be translated into public investment measures and incentives to private investment.
a. Comprehensive Land Use Plan
b. Blueprint
c. Comprehensive Development Plan
d. Master Plan",C,c,Correct,1
 7 ,"Levels of Planning: Timeframe/Duration of Plan that has 10 years e.g. CLUP
a. Long term                 c. Short term
b. Medium term             d. Moderate",A,a,Correct,1
 8 ,"The latest Philippine National Physical Framework Plan covers 2016 to 2045. Every NPFP covers a period or 30 years for what reason?
a. This period of exactly 30 years is a global standard.
b. This period is the economic useful life of most infrastructure developments.
c. This period is twice the maximum for a CLUP coverage period.
d. This period is the population doubling time for the country.",D,d,Correct,1
