,SCORE,,,37,90%
,Environmental Planning Reviewer ,Correct Ans.,,Remarks ,"DISCLAIMER:
Always double-check the values given in this document with the actual laws."
,PHILIPPINE ENVIRONMENTAL LAWS (140 points),,,,
 1 ,What is the law that established the Philippine Environmental Impact Statement System (PEISS)?                   a. PD 1586                              c. PD 1067                                                                                                  b. RA 6969                              d. RA 9275               ,A,a,Correct,1
 2 ,What agency implements the PEISS?                                                                                                         a. DAR                    c. DA                                                                                                                         b. DENR                 d. DOTC ,B,b,Correct,1
 3 ,What projects are required to undergo an EIA?                                                                                           a. Private                       c. Private and Gov't                                                                                               b. Gov't                          d. None of the above ,C,c,Correct,1
 4 ,What document is issued after complying with the PEISS?                                                                           a. Environmental                c. ECC Clearance                                                                                             b. Notice to Proceed          d. None ,C,c,Correct,1
 5 , What is an ECC?                                                                                                                                     a. Environmental Clearance Certificate                        c. Environmental Clarification Certificate                     b. Environmental Compliance Certificate                      d. None of the above,B,b,Correct,1
 6 ,What is an ECP?                                                                                                                                       a. Existing critical project                     c. Environmentally critical project                                      b.Environmentally capable person        d. None of the above ,C,c,Correct,1
 7 , What is an ECA?                                                                                                                                      a. Environmental capacity assessment                     c. Environmental capability                                            b. Existing critical area                                           d. Environmentally critical area ,d,d,Correct,1
 8 ,"What classifies projects as ECP or located in  an ECA?                                                                               a. MC 2014-005                 c. Proclamation 2146                                                                                        b. A042                             d. DA02017-15 
",C,c,Correct,1
 9 , What issuance was the 151 Procedural Manual based on?                                                                            a. DAO 21                       c. AO 42                                                                                                              b . DAO 96-37                 d. MC 2010-14 ,B,a,Wrong,0
 10 , What issuance included ORR and CCA in the PEISS?                                                                                  a. MC 2011-005                                 c. DAO 2003-30                                                                                 b. DAO 21                                         d. DAO 2017-15 ,A,a,Correct,1
 11 ,What issuance further strengthened public participation in the PEISS?                                                          a. DA02017-15                       c. MC 2010-002                                                                                           b. MC 2015-009                     d. MC 2015-008 ,A,a,Correct,1
 12 , What is the cut-off year where all projects are covered by the PEISS?                                                         a. 1990                                    c. 1986                                                                                                        b. 1982                                    d. 1972 ,B,b,Correct,1
 13 ,What is a Category A project?                                                                                                                    a. Mining project           c. Power plant                                                                                                        b. ECP                         d. Large dam ,B,b,Correct,1
 14 ,What category are proposed projects that directly enhance environmental quality or directly address existing environmental problems?                                                                                                                             a. Category A              c. Category C                                                                                                         b. Category B              d. Category D ,C,d,Wrong,0
 15 ,What EIA report is required for the ECC application of a single proposed Category A project?                        a. Project Description                  c. EPRMP                                                                                               b. IEE                                        d. EIS ,D,d,Correct,1
 16 ,What EIA report is required for !he ECC application of an existing project?                                                      a. Project Description               c. EPRMP                                                                                                 b. IEE                                      d. EIS ,C,c,Correct,1
 17 , What category are proposed projects that are localed in an ECA?                                                                a. Category A                              c. Category C                                                                                         b. Category 8                              d. Category D ,B,b,Correct,1
 18 , What activity defines the terms of references of an EIA in the ECC application?                                             a. Screening                              c. Consultation                                                                                          b. Scoping                                 d. Technical conference ,B,b,Correct,1
 19 ,"Identify the item that is not a requirement for the ECC application,                                                                 a. Proof of compatibility with existing Land Use Plan              c. PEMAPS                                                     b. Self-monitoring report                                                      d. Barangay Clearance  
                                                                                                               ",D,d,Correct,1
 20 , What issuance provides for the automatic approval of an ECC application?                                                   a. MC 2014-005                           c. AO 42                                                                                                b. AO 24                                      d. DAO 21 ,C,c,Correct,1
 21 ,What branch of the DENR implements the PEISS?                                                                                        a. MGB                          c. EROS                                                                                                              b. EMB                          d. FMB ,B,b,Correct,1
 22 , What EIA report is required for the ECC application of proposed co-located projects?                                   a. EIS                            c. PEPRMP                                                                                                         b. PEIS                          d. IEE ,B,b,Correct,1
 23 ,What EIA report is required for the ECC application of a firm operating without an ECC?                               a. EIS                           c. PEIS                                                                                                                b. IEE checklist             d. EPRMP ,D,b,Wrong,0
 24 , What is the processing lime for an ECC application of a Category A project??                                               a. 20 working days              c. 40 working days                                                                                           b. 50 working days              d. 30 working days ,C,c,Correct,1
 25 ,What is the processing time for an ECC application of a Category B project??                                                 a. 20 working days              c. 40 working days                                                                                          b. 50 working days               d. 30 working days ,A,a,Correct,1
 26 , Who is the approving authority for a Category A project?                                                                            a. EMB Director                   c. DENR Secretary                                                                                         b. EIA Division Chief            d. Office of the President ,C,c,Correct,1
 27 , What activity determines the project type and requiterrents of an ECC application?                                       a. Screening                        c. Technical meeting                                                                                       b. Scoping                           d. Pubfic hearing ,A,a,Correct,1
 28 , Identify the item that is not a scoping actiivity?                                                                                            a. Project Briefing                c. Public scoping                                                                                              b. Technical seeping            d. Consultations ,D,d,Correct,1
 29 ,Identify the activities required for EIS-based ECC applications prior to scoping.                                             a. IEC                                        c. Site VlSIT                                                                                            b. Initial perception survey           d. Ocular inspection ,AB,,,
 30 ,Identify the activities where the public can participate in the  ECC application process.                                   a. Public scoping                        c. Substantive review                                                                                b. Public hearing                        d. ECC signing ,ABC,,,
 31 , What is the law that established the Clean Air Act (CAA)?                                                                            a. RA 8749                                c. RA 9275                                                                                               b. RA 6969                                d. RA 9003,A,a,Correct,1
 32 ,"What issuance provided the Implementing Rules Regulations of the CAA?                                                      a. DAO 21                                 b. DAO 2000-81
c. DAO 2003-30                        d. DAO 2017-15 ",B,b,Correct,1
 33 ,"What is !he alteration of !he physical, chemical and biological properties of the atmosphere that will or is likely to create or to render the air resources of the country harmful, detrimental, or injurious to public health, safety or welfare?                                                                                                                                                a. Harmful air                            c. Air inhalation ·                                                                                       b. Air pollution                           d. Hazardous air",B,,,
 34 ,What is an area with common weather or meteorological conditions and sources of air pollution which affect the interchange and diffusion of pollution in the surrounding atmosphere?                                                          a. Atmosphere                          c. Air shed                                                                                                 b. Common area                       d. Air component ,C,c,Correct,1
 35 ,What refers to the concentration of air over specified periods classified as short-term and/or long-term which are intended to serve as goals or objectives for the protection of health and/or public welfare.                                                                                                                                                                                           a. Air pollution                            c. Pollution limits                                                                                       b. Ambient air                            d. Ambient air quality guideline values ,D,c,Wrong,0
 36 ,"What refers to an air pollutant concentration which, in order to protect public health andlor public well are, shall not be exceeded in the breathing zone at anytime?                                                                                       a. Breathable air                                   c. Pollution concentration                                                                b. Ambient air quality standard               d. Concentrated air ",B,,,
 37 ,What refers to air pollutants where the National Ambient Air Quality Guideline Values were established?           a. Criteria pollutants                               c. Important pollutants                                                                    b. Critical pollutants                                d. Harmful pollutants,A,,,
 38 ,"What is any measurable air contaminant, pollutant, gas stream or unwanted sound froma known source which is passed into the atmosphere?                                                                                                                   a. Discharge                                         c. Air flow                                                                                      b. Emission                                           d. Compressed air ",B,,,
 39 ,What is a volume of dry gas occupying a cubic meter measured at 25 degrees Celsius and absolute pressure of 760 mm Hg?                                                                                                                                             a. Standard cubic meter                        c. Dry cubic meter                                                                        b. Normal cubic meter                            d. Wet cubic meter ,B,,,
 40 ,What refers to the legal authorization granted by the EMS to operate or maintain any installation for a specified period of time?                                                                                                                                          a. Permit to Operate                                c. Operation permit                                                                       b. Permit to Construct                              d. Equipment permit ,A,,,
 41 ,"What refers to any device or apparatus that is used to prevent, control, orabate air pollution caused by emissions?                                                                                                                                                a. Air filter                                    c. Air compressor                                                                                   b. Pollution control device              d. Air bag ",B,,,
 42 ,"What refers lo any building or fixed structure, facility or nstallation that emits or may emit any air pollutant?                                                                                                                                                                         a. Stationary source                    c. Chimney                                                                                              b. Smoke stack                           d. Vent ",A,,,
 43 ,Identify the item that is not a criteria pollutant?                                                                                             a. TSP                                       c. Hydrogen sulfide                                                                                   b. Carbon monoxide                    d. Lead ,C,,,
 44 ,What is a market-based approach to air pollution control which allows the transfer of emission credits between facilities as a form of regulatory compliance?                                                                                               a. Emission credits                    c. Carbon credits                                                                                       b. Emissions trading                  d. None of the above,B,,,
 45 ,"What is the burning of municipal, bio-medical and hazardous wastes which processemits toxic and poisonous fumes?                                                                                                                                                     a. Combustion                           c. Incineration                                                                                           b. Gasification                           d. None of the above ",C,,,
 46 ,"What refers to pollution control devices, production processes, fuel combustion processes or other means that effectively prevent or reduce emissions or effluents?                                                                                    a. Pollution control technology                    c. Advance technology                                                               b. Pollution technology                               d. None of the above ",A,,,
 47 ,Whal is an area where the existing ambient air quality is at or below National Ambient Air Quality Guideline Values?                                                                                                                                                    a. Attainment                             c. Pristine                                                                                                 b. Good air quality                     d. Clean air ,A,,,
 48 ,What is a CEMS?                                                                                                                                a.Centralized Monitoring System                         c.Centralized Environmental Enviromental Monitoring b.Continuous Emission Monitoring System           d. None of the above ,B,,,
