,SCORE,,,21,91%
,Environmental Planning Reviewer ,Correct Ans.,,Remarks,"DISCLAIMER:
Always double-check the values given in this document with the actual laws."
,Refresher-Planning-Law-Administration (148 points),,,,
 1 ,"The Constitutional Commission is composed of the following:                                                                                                                                         i. csc
ii. COA
iii. COMELEC
iv. DILG
v. LGU                                                                                                                                                                                                                                 a. i, ii, iii     b. iii, iv, v       c. i, iii, iv, v           d. i, ii, iii, iv, v",A,a,Correct,1
 2 ,"The Philippine Constitution states that, ""Congress shall give the highest priority to the enactment of measures that protect and enhance the right of all people to human dignity, reduce social and economic inequalities by equitably diffusing wealth and political power for the common good. To this end the State shall regulate the acquisilion, ownership, use and disposition of property and its increments. Which of the regulatory powers mentioned is devolved to the local government units?
a. Acquisition                        c. Use
b. Ownership                        d. Disposition",C,c,Correct,1
 3 ,"The 1987 Constitution seeks to classify all lands in the public domain into four categories. Name the one that is not among the four.
a. Agricultural land
b. Mineral land
c. National park
d. Ancestral domain",D,d,Correct,1
 4 ,"Examples of social engineering role of State for restructuring society are land reform, land use planning and zoning, etc.
a. Hard approach                    c. Soft and hard approach
b. Soft approach                      d. Very hard approach",B,b,Correct,1
 5 ,"The following are the stated goals of 'urban development policy' (NUDHF) in the Philippines, except one:
a. To slow down rural-to-urban movement by means of migration control and population management
b. To achieve a more balanced urban-rural interdependence
c. To optimally utilize land and resources to meet the requirements of housing and urban development
d. To undertake a comprehensive and continuing program of urban development which will make available housing and services at affordable cost",A,a,Correct,1
 6 ,"According to Raul de Guzman, generally refers to the systematic and rational dispersal of power, authority and responsibility from the center to the periphery, from top to lower levels, or from national to local governments. It hastens decision-making processes by decongesting central government and decreasing red tape, and at the same time, and perhaps more important, it increases citizen participation, and empowers them, thereby leading to a more open and democratic government.
a. Local governance                          c. Democratization
b. Decentralization                             d. Federalism",B,b,Correct,1
 7 ,"This form of decentralization refers to the transfer of functions to lower level administrative units designated by the central office. It is essentially a management tool to decongest the central office and spare it from having to act on matters, including routine and administrative ones that may be best addressed at the lower levels. However, final and substantive authority still rests on central authorities. This is therefore, administrative in nature. Example of this is the Integrated Reorganization Plan (IRP) adopted in 1972 to bring about a comprehensive reorganization of the country's administrative system. Under the IRP, the country was divided into initially 11 administrative regions and regional offices of many national government agencies throughout the country were established.
a. Decentralization                            c. Deconcentration
b. Devolution                                      d. Debureaucratization",C,c,Correct,1
 8 ,"This form of decentralization refers to the transfer of powers and authorities to lower-level political or local government units, with the following major features: elected local executive, elected local legislative body, and with specific taxing powers, and jurisdiction over a certain defined geographical area. This concept is related to that of local autonomy. It is therefore political in nature.
a. Decentralization                            c. Deconcentration
b. Devolution                                    d. Democratization",B,b,Correct,1
