Planning Laws Implementation & Land Use Planning,SCORE,,,101,100%,
,Environmental Planning Reviewer ,Correct Ans.,Correct Ans.,Remarks,"DISCLAIMER:
Always double-check the values given in this document with the actual laws.",
,Planning Laws Implementation & Land Use Planning (100 points),,,,,
 1 ,"Defines the parameter for EIS. 

a. PD1151                     c. RA 7160

b. PD 1586 IRR              d. RA 1152",B,B,Correct,1,
 2 ,"Vesting authority on Barangay Chairman to enforce pollution control and environmental laws. 

a. PD 825                c. PD 1160 

b. PD 984                d. PD 856 ",C,C,Correct,1,
 3 ,"It refers to activities concerned with the management and development of land as well as preservation, rehabilitation of the human environment.                                                                                                     a. Land use Planning                                                                                                                                b. Environmental Planning                                                                                                                       c. Socio-economic planning 

d. Comprehensive Development Planning",C,C,Correct,1,
 4 ,"Board of Environmental Planning is composed of 

a. 1 Chairman and 5 Members 

b. 1 Chairman and 7 Members 

c. 1 Chairman and 3 Members 

d. 1 Chairman and 2 Members . ",D,D,Correct,1,
 5 ,"PD 1308 was signed into law when?

a. March 12, 1977          c. March 2, 1977 

b. March 2, 1987           d. March 21, 1977",A,A,Correct,1,
 6 ,"PD 1308 shall take effect __ months after the Constitution of the Board.                                                     a. 3 months.
b. 9 months
c. 1 month
d. 6 months",A,A,Correct,1,
 7 ,"Who act as the Chairman of the Protected Area Management Board (PAMB}?
a. DENR Secretary
b. ENRO
c. RED
d. PEN RO",C,C,Correct,1,
 8 ,"Who are the eligible IEE Preparers?
a. IEE preparers duly accredited by the Environmental Planning Board
b. IEE preparers duly accredited by the EMB- DENR
c. IEE preparers duly accredited by the PAMB
d. None of the above ",D,D,Correct,1,
 9 ,"Depressed area surrounded by higher ground but usually 

with an outlet and drained by a river system. 

a. Drainage corridors          c. Drainage cut-out 

b. Drainage basin                d. Drainage systems ",B,B,Correct,1,
 10 ,"An area within a city or municipality principally for pollutive/non·hazardous and pollutive/hazardous 
industries. 

a. 1-1                 c. 1-3 

b. 1-2                 d. 1-4",C,C,Correct,1,
 11 ,"It refers to a Title formally recognizing the rights of ICC's/ IP's over their ancestral lands.
a. Certificate of Ancestral Domain Tiile
b. Certificate of Torrens Title
c. Certificate of Ancestral Land Title
d. Ordinary Land Title",C,C,Correct,1,
