,SCORE,,,190,96%
,Environmental Planning Reviewer ,Correct Ans.,,"Remarks /
Correct Answer","DISCLAIMER:
Always double-check the values given in this document with the actual laws."
,"PLANNING CONCEPTS, THEORIES, HISTORY (202 points)",,,,
 1 ,"For his grid-iron design of ancient Greek settlements such as Priene, Piraeus and Rhodes, he is acknowledged as the Father of Town Planning in Western Civilization
a. Vitruvius                c. Hippodamus
b. Ptolemy                 d. Appolodorus ",C,c,Correct,1
 2 ,"Which is a major contribution of classical Greek civilization 700-404 BCE to town planning?
                                                                                                                                                                a. Polytheism or pantheon of Greek gods which sanctified all elements of Nature as being animated by divine spirit
b. The delineation between religious space & secular civic space as separate but complementary spheres in society                                                                                                                                                 c.The concept of polis or (Latin) civitas which means that only residents of cities can truly be called civilized.   d. The practice of direct democracy and the notion of citizenship which included women, the poor,  slaves, and aliens. ",B,b,Correct,1
 3 ,"According  to Karl Willfogels 'Hydraulic Civilization' model of urbanization (1957), what would explain the emergence in Antiquity (4000-200 BCE) of the earliest cities also known as 'necropolis' and temple-towns?
                                                                                                                                                                a. Irrigation for farms revolutionized both economic production and social organization as it resulted in
food surplus, which necessitated large storage warehoJse in preparation of war or drought
b. Strongman rule was hastened by the need to distribute water for irrigation and to ration food.
c. City-building centered on immortalizing kings and heroes in godlike worship through grandiose
monuments, tombs, fineries, pyramids, mausoleums, shrines, altars, temples, ziggurats, obelisks, etc.
·d. All of the Above ",D,d,Correct,1
 4 ,"Built below the Acropolis in the heart of the citystate, the 'marketplace' was the site where ancient Greeks came
together not only for trading and buying of foodstuffs but also for political, social, and other secular activities
a. Agora                                  c. Parthenon
b. Erechtheum                         d. Forum 
",A,a,Correct,1
 5 ,"They were considered the earliest regional planners in history (27 BCE -41 O AD) because they planned their cities and settlements with transport network, civil works, utilities, and military defense, foremost in their minds?
a. Macedonian Greeks under Alexander The Great
b. Persians under Cyrus the Great
c. Romans under the dictatorial Emperors
d. Egyptians under Ramses, Thutrnoses, and Nefertiti ",C,c,Correct,1
 6 ,"Cathedral Towns' during Middle Ages 800- 1440 AD showcased the ascendancy of the church in all affairs
whether religious or secular, and these medieval cities displayed the following physical characteristics except one:
a. Narrow, twisty, irregular streets radiating from the main center (radio centric)
b. Congestion was common; infrastructure for garbage and sewage was absent; sanitation was poor;
c. Vulnerable to epidemics such as bubonic plague, cholera, typhoid fever, scarlet fever. Etc.
d.Loss of privacy due to overcrowding resulted in loose sexual morals of the population ",D,d,Correct,1
 7 ,"Outside the walls of Medieval towns and cities, land was used collectively and defined as follows: 'common of  pasture', 'common of turbary', 'common of piscary', 'common of estovers', and 'common of soil.' Which one refers to everyone's right to take fish, game, or fowl from communal land?                                                      a. Common of Pasture       c. Common of Piscary
b. Common of Soil             d. Common of Turbary",C,c,Correct,1
 8 ,"What theory of urbanization by RL Carneiro (1970) best explains 'Fortress Cities' during the Dark Ages 476-800 AD?
a. Urbanization was hastened by cultural exchange resulting from overland trade caravans.
b. People settled together around strategic places which could directly benefit from maritime trade.
c. Strongman rule was necessitated in order to distribute water for irrigation.
d.After the collapse of army-based imperial / government, people had to congregate in cities for better protection from plunderers and marauders.",D,d,Correct,1
 9 ,"Except for one city below, 'Mercantile Cities' during the Renaissance period served as trading ports for overseas commerce and played key role in the accumulation of gold and silver by European monarchies and principalities.
a. Venice, Italy
b. Armsterdam, The Netherlands
c. Dortrmund, Germany
d. Lisbon, Portugal",C,c,Correct,1
