,1000 Questions,,,1,20%
,Environmental Planning Reviewer ,Correct Answer,,"Remarks /
Correct Answer","DISCLAIMER:
Always double-check the values given in this document with the actual laws."
,EnP-Practice-Question 1000,,,,
 1 ,"Presidential Decree 1308 Sec.2a defines it as referring to 'all activities concerned with the management and development of land, as well as the preservation, conservation and management of the human environment""
(A) Urban Planning 
(B) Human Ecology 
(C) Environmental Management 
(D) Environmental Planning",D,a,Wrong,0
 2 ,"According to RA 9275 Sec 4, refers to the entire system which covers conservation, regulation and minimization of pollution, clean production, waste management, environmental law and policy, environmental education and information, study and mitigation of the environmental impacts of human activity, and environmental research. 
(A) Environment and Natural Resources Development 
(B) Regional Planning 
(C) Environmental Management 
(D) Environmental Planning",C,b,Wrong,0
 3 ,"These are areas of less than 500 people per km' whose inhabitants are primarily engaged in agriculture or in extraction of raw materials with dwellings which are spaced widely apart and often with little or services or utilities such as power, piped water sewerage, roads, etc. 
(A) Tribe 
(B) Purok 
(C) Hamlet 
(D) Rural",D,c,Wrong,0
 4 ,"As defined by PD 1517 and by National Statistics Office, 'urban' area has the following characteristics except one
(A) it exports substantial quantities of processed products 
(B) core districts density is at least 500 per square kilometer 
(C) overall density of at least 1000 persons per square kilometer in tts entirety 
(D) exhibits a street pattern",A,b,Wrong,0
 5 ,"The most recent re-definition of 'urban' by NSCB (2003) does not include one of the following.  
(A) if a barangay has more fishery output and shellcraft activities compared to farms, then tt is considered urban; 
(B) if a barangay has population size of 5,000 or more, then it is considered urban; 
(C) If a barangay has at least one establishment with 100 employees or more, then it is considered urban 
(D) If a barangay has 5 or more establishments with a minimum of 10 employees, and 5 or more facilities within the two-kilometer radius from the barangay hall, then it is considered urban",A,a,Correct,1
 6 ,"A 'city' is a significantly-large urban area which has; 
(A) a cluster of skyscrapers 
(B) a charter or legal proclamation
(C) a rectilinear or orthogonal street design 
(D) a seaport or an airport",B,,,
 7 ,"In a November 2008 ruling of the Supreme Court upholding RA 9009's amendment of Sec. 450 of RA 7160 LGC, the statutory requirements for an LGU's elevation lo citihood are 
(A) contiguous territory of at leas1000 km2 except for island/group of islands 
(B) minimum annual Income of P100 million based on 1991 constant prices 
(C) population of at least 150,000 
(D) all of the above",D,,,
 8 ,"This pertains to the process wherein large numbers of people, driven by demographic factors, live together in important locations - a process that is always accompanied by economic agglomeration, spatial alteration, and socio-cultural change.
(A) Industrialization 
(B) Urbanization 
(C) Demographic Transition 
(D) Modernization",B,,,
 9 ,"This refers to the unprecedented phenomenon occurring in megacities wherein the rate of increase of local population outpaces the natural 'carrying capacity' of cities as ecosystems and overwhelms the 'carrying capacity' of city institutions in term of resources and personnel to address complex problems. 
(A) Metropolitanzation 
(B) Modernization 
(C) Hyper-Urbanization 
(D) False or Pseudo-Urbanization",C,,,
 10 ,"A direct result of ""leapfrog"" or 'checkerboard' development this phenomenon irreversibly converts rural space into urban space even before the populations meant to use it could be present. 
(A) Premature Urbanization 
(B) Hyper-Urbanization 
(C) Metropolitan Annexation 
(D) Commercialization",A,,,
 11 ,"Settlements in high-risk zones: buildings on natural wetlands: rivers and waterways used as sewers; recurrent shortage of food, water and power; segments of idle prime land in city center: lack of distinctive city image and coherent urban form, all taken together, are manifestations of 
(A) Population Explosion 
(B) Urban Geohazards 
(C) Exurbanization 
(D) Unmanaged Urbanization",D,,,
 12 ,"This refers to low-density urban use of land expanded faster than population growth requires and occurring in an amorphic manner at the margins of existing urban centers. Over time, more and more houses are built far from urban centers that would require more energy use per person and more government resources to provide piecemeal extensions of roads and utilities. 
(A) Dispersion 
(B) Decentralization 
(C) De-urbanization 
(D) Sprawl",D,,,
 13 ,"According to Dr. Francis Stuart Chapin Jr in the first comprehensive textbook on urban planning ever written, the explicit goals of urban planning are the following, except one: 
(A) health & safety 
(B) convenience & amenity 
(C) tolerance & plurality 
(D) efficiency & economy",C,,,
 14 ,"The following are the stated goals oi 'urban development policy' (NUDF) in the Philippines, except one: 
(A) to achieve a more balanced urban-rural Interdependence 
(B) to slow down rural-to-urban movement by means of migration control and population management  
(C) to optimally utilize land and resources to meet the requirements of housing and urban development 
(D) to undertake a comprehensive and continuing program of urban development which will make available l housing and services at affordable cost",B,,,
 15 ,"In Michael P. Todaro’s Labor Migration Model of Urbanization (1976), the central pull factor or main attraction of Third World cities to rural migrants even when these cities are unprepared to accept migration, is 
(A) ""bright lights effect"" or lure of city fife and neon-lit entertainment 
(B) possible benefits derived from proximity to seat of power and prestige of central city address
(C) abundance and plenitude in cities versus hunger and famine due to insurgency wars in the countryside 
(D) substantial wage differentials between urban labor and rural labor for the same level of skill, task, or occupation",D,,,
