,SCORE,,,0,#DIV/0!
,Environmental Planning Reviewer ,Correct Ans.,,Remarks ,"DISCLAIMER:
Always double-check the values given in this document with the actual laws."
,EnP Quiz Part 3 (abg),,,,
 1 ,"Any solid, semi-solid or liquid waste material with no commercial value.
a. solid waste              b. hazardous waste
c. industrial waste       d. chemical waste",B,,,
 2 ,"Integrated Water Quality Management Framework means the policy guideline integrating all the existing frameworks prepared by all government agencies on water quality involving pollution from all sources. Specifically, the framework shall contain the following:
i. water quality goals and targets
ii. period of compliance
iii.water pollution control strategies and techniques
iv.water quality information and education program
v. human resources development program
a. I,ii,iii,iv              b. ii,iii,iv,v              c. I,ii,iii,v              d. I,ii,iii,iv,v",D,,,
 3 ,"It means a landward and outer limiting edge adjacent to the border of any water bodies or a limit beyond where saturation zone ceases to exist.
a. Edge                 b. Easement          c. Border             d. Margin",D,,,
 4 ,"National Water Quality Status Report means a report to be prepared by the DENR indicating:
i. the location of water bodies, their water quality, taking into account seasonal, tidal and other variations, existing and potential uses and sources of pollution per specific pollutant and pollution load assessment
ii. water productivity and service capability
iii. water quality management areas pursuant to Section 5 of RA 9275
iv. water classification
a. I,ii,iii,iv             b. I,iii,iv                  c. I,ii,iii                 d. ii,iii,iv",B,,,
 5 ,"The application of an integrated, preventive environmental strategy to processes, products, services to increase efficiency and reduce risks to humans and the environment.
a. cleaner production                   b. clean-up operation
c. clean-up drive                         d. cleaner program",A,,,
 6 ,"An amount of not more than how many percent of the total amount accruing to the area water quality management fundannually shallbe allocated for the operational expenses of the governing board, its secretariat and multi-sectoralwater quality surveillance and monitoring network?
a. 5%                    b. 15%                 c. 10%                      d. 20%",C,,,
 7 ,"The DENR shall implement this system in all management areas including the Laguna Lake Region and Regional Industrial Centers through the collection of charges/fees.
a. discharge permits
b. area water quality management fund
c. water quality criteria and standards
d. wastewater charge system",D,,,
 8 ,"What sections in RA 9275 state that anyperson who causes pollution in or pollutes water bodies in excess of the applicable and prevailingstandards shall be responsible to contain, remove and clean-up any pollution incident at his ownexpense to the extent that the same water bodies have been rendered unfit for utilization andbeneficial.
a. Section 5 & 6                 b. Sec 6 & 12
c. Sec 15 & 16                   d. Sec 15 & 26",D,,,
 9 ,"Given below the FAO standard for urban land use requirements, what is the projected institutional requirement of municipality-B after 10 years (use exponential growth model for population projection)
a. 150.00 has.                        b. 168.73 has.
c. 180.89 has.                        d. None of the above",B,,,
,,,,,
