,SCORE,,,78,100%
,Environmental Planning Reviewer ,Correct Ans.,Correct Ans.,Remarks ,"DISCLAIMER:
Always double-check the values given in this document with the actual laws."
,SPECIAL PLANNING STUDIES (78 POINTS),,,,
 1 ,"Which is not a key feature of 'professional' planning process?
a. Proactive; Futuristic            c. Algorithmic
b. Problem-solving                  d. People-driven ",C,C,Correct,1
 2 ,"In what sense does 'professional planning' differ from 'generic.' 'common-sensical.' or 'everyday' planning?
                                                                                                                                                          a. There is no difference because planning Is 'ubiquitous' and can be done by anyone, anytime, anywhere.
b. Professional planning has scope and goals that transcend one person or group while generic
planning is essentially action-planning on familiar problems with much latilude for personal flexibility
c. Professional planning examines only the ·natural environment"" while Business Planning considers
both 'policy environment' and 'market environment.·
d. Object of Professional Planning is ""society and nature"" while beneficiary of everyday planning 1s
only 'oneself.' ",B,B,Correct,1
 3 ,"The process of arranging activities and plans among different interest or planning groups for the purpose or systematizing, harmonizing and facilitating operations is called
a. Public hearing
b. Consultation
c. Coordination
d. Scoping",C,C,Correct,1
 4 ,"The process of obtaining technical advice or opinion which may or not be followed is called
a. Consultation                 c. Coordination
b. Public hearing              d. Citizen participation 
",A,A,Correct,1
 5 ,"Which of the following is not a research method?
a. case study                   c. appraisal
b. interview                      d. survey ",C,C,Correct,1
 6 ,"Which type of research is not described as applied research?
a. Action
b. Explanatory
c. Exploratory
d. Evaluation  ",C,C,Correct,1
 7 ,"The strength of survey questionnaire as research instrument lies in.
a. ability to provide baseline data
b. ability to measure or quantify
c. ability to reveal potential relations between different sets of data.
d. ability to draw out the most sincere responses from informants ",A,A,Correct,1
 8 ,"Which are NOT valid scales of data?
i. Nominal-blood type
ii. Ordinal-ranking
iii. Interval - temperature in Kelvin
iv. Ratio - temperature in Celsius
                                                                                                                                                          a. All are valid          b. All are not vatid          c. i, ii           d. iii, iv ",D,D,Correct,1
 9 ,"A tool or analysis developed as an effective way of choosing between alternative planning options by ensuring the optimum allocation of available resources and maximum welfare to the community is
a. Cost-benefit analysis             c. Shift-share analysis
b. linear programming               d. Sensitivity analysis 
",A,A,Correct,1
 10 ,"In the 'Strengths, Weaknesses, Opportunities, Threats' tool as popularized by exponents of Strategic Planning, the elements, aspects or characteristics that need to be
reinforced, are enumeraled under which quadrant?
a. 'S'                c. 'O'
b. w                 d. T ",A,A,Correct,1
 11 ,"Whal best describes a gantl chart.
a. shows how different tasks are related
b. illustrates how one task must be completed berore beginning another.
c. utilizes a table with alternatives In rows and impact ractors in column
d. allocates time among various tasks 
",D,D,Correct,1
 12 ,"In a PERT-CPM, this is a starting node lo two or more activities.
a. Burst node                       c. Merge node
b. Concurrent node              d. Simultaneous node 
",A,A,Correct,1
 13 ,"Program Review and Evaluation Technique-Critical Path Method (PERT-CPM) is a project management technique designed to:
a. logically connect program and project
b. mitigate effects of railed program
c. identify evacuation routes and remedy errors in disast.er risk estimation
d. seek efficiency of time & resources in execution & implementation",D,D,Correct,1
 14 ,"The hierarchic logic in LogFrame or ZOPP starts with broad goals which are subsequently broken down into purposes, objectives, outputs, and activities.
a. horizontal           c. vertical
b. lateral                d. diagonal ",C,C,Correct,1
 15 ,"This is an intuitive method or demand analysis, needs assessment, or forecasting which gathers the independent views and judgements of recognized experts in panel discussion, or polls and consolidates their expert opinions thru a survey.
a. delphi technique
b. crystal ball
c. oracle method
d. authoritative approach",A,A,Correct,1
 16 ,"________ is/adopled lop be a rational act that reduces the uncertainties of the future by relying on information, ils analysis and interpretation, as the primary basis for policy and action.
a. Data Gathering                  c. Organizing
b. Planning                           d. Projeciing 
",B,B,Correct,1
 17 ,"The best measure of the project's economic worthiness and its adaptation as a basis for project acceptability is
a. Net present value                 c. EIRR
b. Discounted rate                   d. FIRR ",A,A,Correct,1
 18 ,"What are NOT parts of the Pre-Investment Phase or the NEDA Project Development Cycle?
i. Project Appraisal and Financing
ii. Engineering and Design
iii. Project Operation
iv. Project Implementation
v. Project Identification
vi. Project Preparation
                                                                                                                                                          a. i and ii only           b. i, v and vi only          c. ii, iii and iv only           d. All of the above ",C,C,Correct,1
 19 ,"The following are tools used in prioritizing programs and projects except
a. Resource Impact Matrix
b. Resource Compatibility Matrix
c. Conflict- Compatibility Complementarity Matrix
d. Goal Achievement Matrix ",D,D,Correct,1
 20 ,"Which of the following methods were espoused by Morris Hill?
a. Cost-Benefit Analysis
b. Pressure-State-Response Analysis
c. Planning Balance Sheet
d. Goal Achievement Matrix ",D,D,Correct,1
 21 ,"Which of the following methods were espoused by Nathaniel Lichfield?
a. Urban Land Distribution Formula
b. Demand-Supply Balancing Model
c. Planning Balance Sheet
d. Goal Achievement Matrix",C,C,Correct,1
 22 ,"According to the Local Development Indicator System or LOIS, this is the most ideal level of disaggregated data to be gathered, stored and analyzed.
a. District-level                      c. Regional-level
b. Barangay-level                  d. Provinclal·level ",B,B,Correct,1
 23 ,"Which evaluation method for urban strategy selection is apt for evaluating projects or plans against a single objective?
a. PBS                                  c. CBA PBS
b. GAM                                 d. PBS GAM",C,C,Correct,1
 24 ,"These persons who may be significantly affected by the proiect or undertaking are called
Defined as any person/groupfinstllution that has an interest in a developmental activity/projecVprogram.
a. Appointive officials             c. Community
b. Stakeholders                     d. Proponent ",B,B,Correct,1
 25 ,"This theory provides framework for understanding regional spatial structure:
a. Range and Threshold                       c. Central Place
b. Core and Periphery                         d. Radial Model ",D,D,Correct,1
 26 ,"This theory al regional planning states lhat 'development can start only in a relatively !ew dynamic sectors and geographic locations from where ii is expected to spread to the remaining sectors and geographical areas of a country'
a. Growth center
b. Cumulative causation
c. Center-periphery model
d. Center-down paradigm",D,D,Correct,1
 27 ,"A place-oriented approach lo regional analysis that can be used to supplement sectoral and technical planning as well as people-oriented approaches lo social services.
a. Approaches Planning
b. Comprehensive Land Use Planning
c. Site Planning
d. Regional Planning ",A,A,Correct,1
