,SCORE,,,1,33%
,Ultimate Reviewer Ver. 1.0 - Environmental Planning Reviewer ,Correct Ans.,,"Remarks /
Correct Answer","DISCLAIMER:
Always double-check the values given in this document with the actual laws."
,Arch't Joseph Panlilio De-Ala UAP (250 points),,,,
 1 ,"It is the division of a community into districts or zones according to present and potential uses of land to maximize, regulate and direct their use and development.
, a. Comprehensive Development Planning
, b. Zoning
, c. Land Use Planning
, d. None of the above",B,b,Correct,1
 2 ,"Under the Local Government Code, reclassification of agricultural land in component cities and first to third class municipalities shall be limited to:
, a. 10%
, b. 15%
, c. 20%
, d. 5%",A,b,Wrong,0
 3 ,"This Law provides a liberalized environment more conducive to private sector investment.
, a. RA 7718 (BOT Law)
, b. Retail Trade Liberation Act
, c. Urban Development and Housing Act
, d. None of the above",A,c,Wrong,0
 4 ,"A contractual arrangement whereby the project proponent undertakes the financing construction of a given infrastructure or development facility and after its completion turns it over to the government agency or local government unit concerned, which shall pay the proponent on an agreed schedule its total investments expanded on the project, plus a reasonable rate of return thereon.
, a. Build and transfer
, b. Build own and operate
, c. Build transfer and operate
, d. Develop, operate and transfer",C,,,
 5 ,"The use of scientific methods and information to define the probability and magnitude of potentially adverse effects which can result from exposure to hazardous materials or situations.
, a. Environment impact statement
, b. Environment risk assessment
, c. Scoping
, d. None of the above",B,,,
 6 ,"Which of these projects require an EIS?
, a. Golf courses and residential subdivisions above 10 hectares
, b. Drugstore and backyard piggery
, c. Projects under Kalakalan 20
, d. All of the above",A,,,
 7 ,"A central business district usually has a
, a. High daytime population
, b. Large concentration of office and retail activities
, c. Large daily inflow and outflow of commuters
, d. All of the above",D,,,
 8 ,"If the location quotient of an industry in a region is high, it suggest that
, a. The distribution of the industry in the region is very concentrated
, b. The distribution of the industry in the region is dispersed
, c. The distribution of the industry in the region does not deviated much from the distribution of other industries
, d. The region has a larger share of the industry relative to other regions",D,,,
 9 ,"Urban development tends to occur along major transportation routes because
, a. Population tends to concentrate where transportation is available
, b. Transportation facilities tend to service areas where there is population concentration
, c. Both A and B
, d. None of the above",C,,,
 10 ,"The rate used to discount the future streams of estimated costs and benefits is known as
, a. Social discount rate
, b. Inflation rate
, c. Financial rate of return
, d. Economic internal rate of return",A,,,
 11 ,"This represents the earning power of money invested in the project
, a. Internal rate of return
, b. Net present value
, c. Annuity
, d. Discounting",A,,,
 12 ,"________ initially developed the concept of “growth pole of regions”
, a. Christaller
, b. Perroux
, c. Lennoix
, d. Howard",B,,,
 13 ,"________ is a set of accounts, usually in monetary form, prepared for an economy and widely used in the analysis of inter-industry relationships.
, a. Regional accounts matrix
, b. Input-output table
, c. Economic base table
, d. Location quotient ratio",B,,,
 14 ,"One of the following consists of an area of land, which is generally developed based on a comprehensive plan, allocated for factory buildings either sold or leased for manufacturing purposes
, a. Industrial estate
, b. Integrated area development
, c. Industrial subdivision
, d. Commercial/industrial estate",A,,,
 15 ,"An urban area which has the following characteristics: it has strong linkage with the economy; it is the center of the labor market; it is a major wholesale and retail trade area; it has a high level of tertiary functions; has a good urban system; and has a population less that 250,000 is called
, a. Growth center
, b. Metropolitan area
, c. Major urban center
, d. Minor urban center",A,,,
